family,category,split,path,source,license,selection_seed,latin_support,validation_status,failure_reason,usable,slug,catalog_category,metadata_category,metadata_url,source_url,license_url,license_path,subsets
Zilla Slab,serif,train,data/raw/fonts/google_fonts/serif/Zilla_Slab__ZillaSlab-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,zillaslab,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/zillaslab/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/zillaslab/ZillaSlab-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/zillaslab/OFL.txt,data/raw/fonts/google_fonts/serif/Zilla_Slab__OFL.txt,"latin,latin-ext,menu"
Libre Caslon Text,serif,validation,data/raw/fonts/google_fonts/serif/Libre_Caslon_Text__LibreCaslonText[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,librecaslontext,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/librecaslontext/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/librecaslontext/LibreCaslonText%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/librecaslontext/OFL.txt,data/raw/fonts/google_fonts/serif/Libre_Caslon_Text__OFL.txt,"latin,latin-ext,menu"
PT Serif,serif,validation,data/raw/fonts/google_fonts/serif/PT_Serif__PT_Serif-Web-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,ptserif,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/ptserif/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/ptserif/PT_Serif-Web-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/ptserif/OFL.txt,data/raw/fonts/google_fonts/serif/PT_Serif__OFL.txt,"menu,cyrillic,cyrillic-ext,latin,latin-ext"
Source Serif 4,serif,validation,"data/raw/fonts/google_fonts/serif/Source_Serif_4__SourceSerif4[opsz,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,sourceserif4,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/sourceserif4/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/sourceserif4/SourceSerif4%5Bopsz%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/sourceserif4/OFL.txt,data/raw/fonts/google_fonts/serif/Source_Serif_4__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Cormorant Garamond,serif,test,data/raw/fonts/google_fonts/serif/Cormorant_Garamond__CormorantGaramond[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,cormorantgaramond,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/cormorantgaramond/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/cormorantgaramond/CormorantGaramond%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/cormorantgaramond/OFL.txt,data/raw/fonts/google_fonts/serif/Cormorant_Garamond__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Libre Baskerville,serif,test,data/raw/fonts/google_fonts/serif/Libre_Baskerville__LibreBaskerville[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,librebaskerville,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/librebaskerville/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/librebaskerville/LibreBaskerville%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/librebaskerville/OFL.txt,data/raw/fonts/google_fonts/serif/Libre_Baskerville__OFL.txt,"latin,latin-ext,menu"
Merriweather,serif,test,"data/raw/fonts/google_fonts/serif/Merriweather__Merriweather[opsz,wdth,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,merriweather,serif,SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/Merriweather%5Bopsz%2Cwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/merriweather/OFL.txt,data/raw/fonts/google_fonts/serif/Merriweather__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Barlow,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Barlow__Barlow-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,barlow,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/barlow/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/barlow/Barlow-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/barlow/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Barlow__OFL.txt,"latin,latin-ext,menu,vietnamese"
Exo 2,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Exo_2__Exo2[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,exo2,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/exo2/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/exo2/Exo2%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/exo2/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Exo_2__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Inter,sans_serif,train,"data/raw/fonts/google_fonts/sans_serif/Inter__Inter[opsz,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,inter,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/Inter%5Bopsz%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/inter/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Inter__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Karla,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Karla__Karla[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,karla,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/karla/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/karla/Karla%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/karla/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Karla__OFL.txt,"latin,latin-ext,menu"
Lato,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Lato__Lato-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,lato,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/Lato-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/lato/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Lato__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,menu,vietnamese"
Lexend,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Lexend__Lexend[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,lexend,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/lexend/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/lexend/Lexend%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/lexend/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Lexend__OFL.txt,"latin,latin-ext,menu,vietnamese"
Manrope,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Manrope__Manrope[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,manrope,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/manrope/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/manrope/Manrope%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/manrope/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Manrope__OFL.txt,"cyrillic,cyrillic-ext,greek,latin,latin-ext,menu,vietnamese"
Montserrat,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Montserrat__Montserrat[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,montserrat,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/Montserrat%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/montserrat/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Montserrat__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Poppins,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Poppins__Poppins-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,poppins,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/poppins/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/poppins/Poppins-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/poppins/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Poppins__OFL.txt,"devanagari,latin,latin-ext,menu"
Roboto,sans_serif,train,"data/raw/fonts/google_fonts/sans_serif/Roboto__Roboto[wdth,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,roboto,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/roboto/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/roboto/Roboto%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/roboto/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Roboto__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,latin,latin-ext,math,menu,symbols,vietnamese"
Rubik,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Rubik__Rubik[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,rubik,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/Rubik%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/rubik/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Rubik__OFL.txt,"arabic,cyrillic,cyrillic-ext,hebrew,latin,latin-ext,menu"
Urbanist,sans_serif,train,data/raw/fonts/google_fonts/sans_serif/Urbanist__Urbanist[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,urbanist,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/urbanist/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/urbanist/Urbanist%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/urbanist/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Urbanist__OFL.txt,"latin,latin-ext,menu"
Archivo,sans_serif,validation,"data/raw/fonts/google_fonts/sans_serif/Archivo__Archivo[wdth,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,archivo,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/archivo/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/archivo/Archivo%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/archivo/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Archivo__OFL.txt,"latin,latin-ext,menu,vietnamese"
Mulish,sans_serif,validation,data/raw/fonts/google_fonts/sans_serif/Mulish__Mulish[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,mulish,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/mulish/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/mulish/Mulish%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/mulish/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Mulish__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Work Sans,sans_serif,validation,data/raw/fonts/google_fonts/sans_serif/Work_Sans__WorkSans[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,worksans,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/worksans/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/worksans/WorkSans%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/worksans/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Work_Sans__OFL.txt,"latin,latin-ext,menu,vietnamese"
Open Sans,sans_serif,test,"data/raw/fonts/google_fonts/sans_serif/Open_Sans__OpenSans[wdth,wght].ttf",Google Fonts official repository,OFL,42,True,passed,,True,opensans,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/OpenSans%5Bwdth%2Cwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/opensans/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Open_Sans__OFL.txt,"cyrillic,cyrillic-ext,greek,greek-ext,hebrew,latin,latin-ext,math,menu,symbols,vietnamese"
Oxygen,sans_serif,test,data/raw/fonts/google_fonts/sans_serif/Oxygen__Oxygen-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,oxygen,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygen/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygen/Oxygen-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/oxygen/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Oxygen__OFL.txt,"latin,latin-ext,menu"
Raleway,sans_serif,test,data/raw/fonts/google_fonts/sans_serif/Raleway__Raleway[wght].ttf,Google Fonts official repository,OFL,42,True,passed,,True,raleway,sans_serif,SANS_SERIF,https://raw.githubusercontent.com/google/fonts/main/ofl/raleway/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/raleway/Raleway%5Bwght%5D.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/raleway/OFL.txt,data/raw/fonts/google_fonts/sans_serif/Raleway__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Bebas Neue,display,train,data/raw/fonts/google_fonts/display/Bebas_Neue__BebasNeue-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,bebasneue,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/bebasneue/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/bebasneue/BebasNeue-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/bebasneue/OFL.txt,data/raw/fonts/google_fonts/display/Bebas_Neue__OFL.txt,"latin,latin-ext,menu"
Bowlby One SC,display,train,data/raw/fonts/google_fonts/display/Bowlby_One_SC__BowlbyOneSC-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,bowlbyonesc,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/bowlbyonesc/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/bowlbyonesc/BowlbyOneSC-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/bowlbyonesc/OFL.txt,data/raw/fonts/google_fonts/display/Bowlby_One_SC__OFL.txt,"menu,latin,latin-ext"
Bungee,display,train,data/raw/fonts/google_fonts/display/Bungee__Bungee-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,bungee,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/bungee/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/bungee/Bungee-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/bungee/OFL.txt,data/raw/fonts/google_fonts/display/Bungee__OFL.txt,"latin,latin-ext,menu,vietnamese"
Chango,display,train,data/raw/fonts/google_fonts/display/Chango__Chango-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,chango,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/chango/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/chango/Chango-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/chango/OFL.txt,data/raw/fonts/google_fonts/display/Chango__OFL.txt,"menu,latin,latin-ext"
Fascinate,display,train,data/raw/fonts/google_fonts/display/Fascinate__Fascinate-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,fascinate,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/fascinate/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/fascinate/Fascinate-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/fascinate/OFL.txt,data/raw/fonts/google_fonts/display/Fascinate__OFL.txt,"menu,latin,latin-ext"
Frijole,display,train,data/raw/fonts/google_fonts/display/Frijole__Frijole-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,frijole,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/frijole/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/frijole/Frijole-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/frijole/OFL.txt,data/raw/fonts/google_fonts/display/Frijole__OFL.txt,"menu,latin"
Gravitas One,display,train,data/raw/fonts/google_fonts/display/Gravitas_One__GravitasOne.ttf,Google Fonts official repository,OFL,42,True,passed,,True,gravitasone,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/gravitasone/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/gravitasone/GravitasOne.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/gravitasone/OFL.txt,data/raw/fonts/google_fonts/display/Gravitas_One__OFL.txt,"menu,latin"
Lobster,display,train,data/raw/fonts/google_fonts/display/Lobster__Lobster-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,lobster,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/lobster/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/lobster/Lobster-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/lobster/OFL.txt,data/raw/fonts/google_fonts/display/Lobster__OFL.txt,"cyrillic,cyrillic-ext,latin,latin-ext,menu,vietnamese"
Luckiest Guy,display,train,data/raw/fonts/google_fonts/display/Luckiest_Guy__LuckiestGuy-Regular.ttf,Google Fonts official repository,APACHE2,42,True,passed,,True,luckiestguy,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/apache/luckiestguy/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/apache/luckiestguy/LuckiestGuy-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/apache/luckiestguy/LICENSE.txt,data/raw/fonts/google_fonts/display/Luckiest_Guy__LICENSE.txt,"latin,menu"
Monoton,display,train,data/raw/fonts/google_fonts/display/Monoton__Monoton-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,monoton,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/monoton/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/monoton/Monoton-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/monoton/OFL.txt,data/raw/fonts/google_fonts/display/Monoton__OFL.txt,"menu,latin"
Rampart One,display,train,data/raw/fonts/google_fonts/display/Rampart_One__RampartOne-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,rampartone,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/rampartone/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/rampartone/RampartOne-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/rampartone/OFL.txt,data/raw/fonts/google_fonts/display/Rampart_One__OFL.txt,"cyrillic,japanese,latin,latin-ext,menu"
Righteous,display,train,data/raw/fonts/google_fonts/display/Righteous__Righteous-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,righteous,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/righteous/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/righteous/Righteous-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/righteous/OFL.txt,data/raw/fonts/google_fonts/display/Righteous__OFL.txt,"menu,latin,latin-ext"
Abril Fatface,display,validation,data/raw/fonts/google_fonts/display/Abril_Fatface__AbrilFatface-Regular.ttf,Google Fonts official repository,OFL,42,True,passed,,True,abrilfatface,display,DISPLAY,https://raw.githubusercontent.com/google/fonts/main/ofl/abrilfatface/METADATA.pb,https://raw.githubusercontent.com/google/fonts/main/ofl/abrilfatface/AbrilFatface-Regular.ttf,https://raw.githubusercontent.com/google/fonts/main/ofl/abrilfatface/OFL.txt,data/raw/fonts/google_fonts/display/Abril_Fatface__OFL.txt,"menu,latin,latin-ext"
