rendered_text,category,images,category_rate
Type Practice,sans_serif,13,0.018055555555555554
Type Practice,serif,13,0.018055555555555554
Type Study,display,12,0.016666666666666666
Type Study,handwriting,12,0.016666666666666666
Type Study,monospace,12,0.016666666666666666
Type Study,sans_serif,12,0.016666666666666666
Type Study,serif,12,0.016666666666666666
Typography,display,13,0.018055555555555554
Typography,handwriting,13,0.018055555555555554
Typography,monospace,13,0.018055555555555554
Typography,sans_serif,13,0.018055555555555554
Typography,serif,13,0.018055555555555554
Visual Form,display,15,0.020833333333333332
Visual Form,handwriting,15,0.020833333333333332
Visual Form,monospace,15,0.020833333333333332
Visual Form,sans_serif,15,0.020833333333333332
Visual Form,serif,15,0.020833333333333332
Visual Rhythm,display,14,0.019444444444444445
Visual Rhythm,handwriting,14,0.019444444444444445
Visual Rhythm,monospace,14,0.019444444444444445
Visual Rhythm,sans_serif,14,0.019444444444444445
Visual Rhythm,serif,14,0.019444444444444445
Visual Story,display,15,0.020833333333333332
Visual Story,handwriting,15,0.020833333333333332
Visual Story,monospace,15,0.020833333333333332
Visual Story,sans_serif,15,0.020833333333333332
Visual Story,serif,15,0.020833333333333332
Word Shapes,display,14,0.019444444444444445
Word Shapes,handwriting,14,0.019444444444444445
Word Shapes,monospace,14,0.019444444444444445
Word Shapes,sans_serif,14,0.019444444444444445
Word Shapes,serif,14,0.019444444444444445
